,sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
2091,AZ0167-C,ME2355,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.455,0.7490000000000001,arabiensis,,arabiensis,-155.56525,6.8354,4.1287584,-3.8921409,-16.57308,7.2555323,4.5276012,10.845907,-44.273304,9.63873
2092,AZ0168-C,ME2356,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,-159.29274,8.865406,2.0761204,19.031525,11.614735,-10.259606,12.320774,-8.662207,72.65432,41.813423
2093,AZ0170-C,ME235A,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.456,0.7509999999999999,arabiensis,,arabiensis,-157.86328,5.440786,1.8980073,-5.5031176,4.0919857,-0.8072517,-26.111135,11.968101,5.6590896,14.241708
2094,AZ0172-C,ME235C,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.457,0.75,arabiensis,,arabiensis,-158.98715,8.573925,7.351431,-5.730407,-2.0030777,-10.129353,0.494507,1.8238169,47.363613,-1.7341262
2095,AZ0174-C,ME235L,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.46,0.7490000000000001,arabiensis,,arabiensis,-161.04639,7.55658,5.125655,12.299695,1.5220181,22.314415,23.425322,25.2566,-57.709442,2.4604907
2096,AZ0175-C,ME235M,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.455,0.752,arabiensis,,arabiensis,-142.62146,6.646002,5.1791573,3.601362,-1.5514557,7.094311,13.693046,3.9253218,-13.156305,1.469964
2097,AZ0176-C,ME235N,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,-150.31662,7.081112,6.3161674,8.564061,0.8808659,-5.7322855,8.909765,-8.181861,15.6095295,19.753952
2098,AZ0179-C,ME2367,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45399999999999996,0.75,arabiensis,,arabiensis,-166.28714,7.0844183,5.284669,-10.95934,5.6236725,10.410788,-10.722164,-0.23346984,-11.874764,-74.839066
2099,AZ0180-C,ME2368,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,-155.78812,8.16221,3.2951488,-6.189643,-6.8140583,-29.124027,-32.782257,5.8476367,4.0217376,-28.839247
2100,AZ0181-C,ME2369,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.46,0.75,arabiensis,,arabiensis,-155.4957,4.8726654,9.564883,3.2312317,2.4541101,14.40205,4.656068,12.448517,-22.362131,-13.372123
2101,AZ0182-C,ME236A,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.456,0.7509999999999999,arabiensis,,arabiensis,-163.20976,6.3761015,2.8544457,0.21392436,7.750448,-6.276986,2.975241,11.905117,6.967433,-3.475873
2102,AZ0183-C,ME236B,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,-156.46327,6.7470202,1.8493415,0.80837184,-4.2707963,-19.72566,-43.86991,-6.0950556,13.041827,3.4777923
2103,AZ0184-C,ME236C,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.456,0.75,arabiensis,,arabiensis,-139.52203,6.1197233,2.5006647,3.205131,-2.1241698,-18.833899,-17.28969,9.756509,6.968261,-10.206599
2104,AZ0185-C,ME236E,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.455,0.75,arabiensis,,arabiensis,-150.10129,8.075587,7.251387,-11.237536,-12.69701,14.933219,1.2390021,15.563894,-46.351616,-8.23608
2105,AZ0186-C,ME236K,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45399999999999996,0.75,arabiensis,,arabiensis,-154.41028,4.507348,-2.225745,-3.8226082,12.466494,6.897986,-17.787512,18.998907,-14.097092,36.3807
2106,AZ0187-C,ME236P,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.456,0.7490000000000001,arabiensis,,arabiensis,-159.24176,8.467017,3.583978,-1.2106295,2.3665247,-3.0800276,12.089083,-17.608244,27.49115,6.683701
2107,AZ0188-C,ME236Q,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.46,0.75,arabiensis,,arabiensis,-162.6313,5.614384,-0.059825007,-5.482375,-0.46156394,18.450127,2.5815475,-14.778003,0.5487046,-108.60052
2108,AZ0191-C,ME237L,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.46,0.7490000000000001,arabiensis,,arabiensis,-152.65335,3.9040976,0.12109186,-3.102222,1.2519338,10.595924,28.49418,-0.8582246,-3.8999705,30.895065
2109,AZ0192-C,ME237M,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.457,0.75,arabiensis,,arabiensis,-158.83096,4.2374043,6.5806913,1.4203526,-0.65055096,4.7750473,-0.6245611,11.490975,-18.520319,1.5710186
2110,AZ0199-C,ME237X,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45899999999999996,0.75,arabiensis,,arabiensis,-147.96109,5.0612836,3.101966,-10.7243185,5.131909,-6.4138846,5.7809453,5.754801,21.94619,5.5907373
2111,AZ0200-C,ME237Y,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.461,0.75,arabiensis,,arabiensis,-167.43993,7.255253,9.909306,-4.962787,-17.075909,19.948502,8.825993,-20.164793,12.98136,-13.312088
2112,AZ0201-C,ME237Z,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.452,0.75,arabiensis,,arabiensis,-155.55537,5.5462174,1.9015647,-6.294241,10.447455,-6.8911624,-11.642826,4.9320273,11.10619,-23.825165
2113,AZ0202-C,ME2382,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.455,0.7490000000000001,arabiensis,,arabiensis,-150.11523,6.437956,-3.8775463,2.844394,1.0083191,0.118677974,-7.870057,-0.25720266,-15.27858,-1.6930283
2114,AZ0223-C,ME2345,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.456,0.731,arabiensis,,arabiensis,-152.31465,5.3833046,-2.4763258,-1.9493283,-6.0793624,12.423045,-3.9803693,8.738769,-33.019646,-3.096535
2115,AZ0226-C,ME2348,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.45,0.728,arabiensis,,arabiensis,-151.77884,6.658761,-1.5760429,0.24846202,9.327329,-20.412151,-11.932743,7.3869853,20.793694,8.325279
2116,AZ0242-C,ME232M,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.433,0.7190000000000001,arabiensis,,arabiensis,-156.00305,5.78899,6.8618,-12.848013,-6.2023416,3.6690233,-0.7686154,3.1880102,-17.008614,-28.382915
2117,AZ0246-C,ME232R,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.439,0.6859999999999999,arabiensis,,arabiensis,-147.99977,3.9651062,4.2595716,-1.1205246,5.0343666,-14.145158,-8.758011,-18.731583,12.389346,14.0718565
2118,AZ0247-C,ME232S,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.444,0.727,arabiensis,,arabiensis,-147.36555,7.3721204,-2.5810804,-4.040341,-11.573207,3.379055,31.683771,13.741501,-22.580536,43.441227
2119,AZ0251-C,ME232W,Martin Donnelly,Malawi,Chikhwawa,2015,5,-15.933,34.755,F,AG1000G-MW,v3,0.441,0.713,arabiensis,,arabiensis,-157.18582,6.6323624,-1.9219726,10.838052,9.982694,-19.471556,-26.511122,-6.768022,48.458946,-2.7183506
2195,BL0047-C,Plate_F_D4,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.745,arabiensis,,arabiensis,16.876858,6.7233753,-4.738026,112.26832,30.11743,2.9505584,116.681335,-32.581085,48.31817,114.19092
2196,BL0048-C,Plate_F_E4,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.742,arabiensis,,arabiensis,18.230494,10.890334,5.1673193,15.8130665,8.1440325,5.2849145,32.914604,11.632702,-26.960058,8.810508
2197,BL0049-C,Plate_F_F4,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.7440000000000001,arabiensis,,arabiensis,20.482016,8.898596,12.545101,29.595537,13.463603,-12.180137,-5.5181146,-7.685104,-17.451614,-3.4405398
2198,BL0050-C,Plate_F_G4,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.451,0.735,arabiensis,,arabiensis,15.323678,6.592698,2.9276216,126.99343,17.64207,30.479559,119.350914,-43.301846,44.904625,105.759476
2201,BL0055-C,Plate_D_E6,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.728,arabiensis,,arabiensis,18.896526,1.7074574,-3.4251738,34.205566,8.890375,0.52775794,12.539263,-12.549442,-30.59984,0.027202304
2203,BL0059-C,Plate_D_A8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.745,arabiensis,,arabiensis,21.786009,12.160899,32.471004,-21.775137,8.213652,1.2721486,-12.749144,10.385063,-2.1463912,5.4060335
2204,BL0060-C,Plate_D_B8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.447,0.7240000000000001,arabiensis,,arabiensis,12.152885,8.263804,9.622451,78.593094,25.727705,15.429271,38.743645,-33.113834,-23.240158,-10.201953
2205,BL0061-C,Plate_D_D8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.7440000000000001,arabiensis,,arabiensis,16.531862,10.799035,14.724357,6.489398,-1.5238429,-15.1118,5.648875,0.12483742,-1.5245627,-3.0446815
2206,BL0062-C,Plate_D_F8,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.742,arabiensis,,arabiensis,7.82695,5.6191216,3.4511254,49.57618,31.942492,15.672576,4.6967564,-25.477491,-64.41505,-44.55658
2209,BL0067-C,Plate_B_C2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.447,0.738,arabiensis,,arabiensis,19.20755,9.837718,16.644741,-9.30956,-18.646011,-13.167892,-3.2045279,6.9486785,-14.598099,2.9801743
2210,BL0068-C,Plate_B_D2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.7390000000000001,arabiensis,,arabiensis,11.853344,9.580536,6.2659736,14.167976,-0.71823275,-4.222481,-2.908093,8.8096075,-1.8577985,7.7270226
2211,BL0069-C,Plate_B_E2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.741,arabiensis,,arabiensis,18.512327,5.8022747,-3.4814906,19.062191,-5.8681135,-8.312345,18.024267,6.8523,-9.169857,-12.998785
2212,BL0070-C,Plate_B_F2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.743,arabiensis,,arabiensis,14.558098,0.5791161,26.479654,-9.613381,18.754238,16.95648,-14.593618,-27.316399,-22.91248,-20.567167
2213,BL0071-C,Plate_B_G2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45899999999999996,0.74,arabiensis,,arabiensis,23.545471,9.177945,23.160341,-28.965855,-1.7638235,-2.6047544,4.675563,-2.0825438,0.85220754,3.6302586
2214,BL0072-C,Plate_B_H2,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.45299999999999996,0.741,arabiensis,,arabiensis,15.760864,13.665793,22.489946,8.070458,3.8103843,-30.422707,-11.296919,-7.0295873,-12.234949,-12.109243
2215,BL0073-C,Plate_B_B4,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.46,0.742,arabiensis,,arabiensis,23.923948,8.658325,30.32302,-47.59912,-10.5943165,-7.638638,19.265541,18.055544,32.650806,-0.9651172
2216,BL0074-C,Plate_B_C4,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.736,arabiensis,,arabiensis,23.25654,11.108909,18.0912,29.871695,5.957346,7.62597,74.58114,-10.454036,30.170738,17.810154
2217,BL0075-C,Plate_B_D4,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.449,0.738,arabiensis,,arabiensis,22.895746,11.80551,23.527317,13.162974,-6.9438605,-14.397742,-10.024951,-2.7683184,-18.458427,8.886913
2218,BL0076-C,Plate_B_F4,Bilali Kabula,Tanzania,Muleba,2015,6,-1.962,31.651,F,AG1000G-TZ,v3,0.452,0.7390000000000001,arabiensis,,arabiensis,18.187836,10.428447,20.271095,9.483715,11.395607,1.9769313,0.66944236,46.639164,-5.6645365,29.588102
2221,BL0081-C,Plate_F_B4,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.7440000000000001,arabiensis,,arabiensis,18.023155,9.32777,28.147884,-0.33778387,-12.800869,-7.6399226,-23.934881,-16.944752,-0.40555742,13.411484
2222,BL0082-C,Plate_F_C4,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.45299999999999996,0.742,arabiensis,,arabiensis,21.209137,10.243827,14.489371,7.6093655,1.4162008,-3.5946324,33.841076,4.6949644,25.728006,6.3787274
2223,BL0083-C,Plate_F_A5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.45299999999999996,0.7390000000000001,arabiensis,,arabiensis,22.339836,5.5661297,8.772238,16.274628,16.348995,12.896869,10.919903,3.8026676,-3.7696874,-15.770108
2224,BL0084-C,Plate_F_B5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.74,arabiensis,,arabiensis,16.793816,8.107377,11.827366,1.901637,5.296142,-10.914991,-3.6451507,3.155876,-25.812464,-10.023862
2225,BL0085-C,Plate_F_C5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.7390000000000001,arabiensis,,arabiensis,24.46113,9.3006525,17.088272,-1.3698289,-17.979359,-18.674114,-8.710615,9.863327,10.340562,-1.1641425
2226,BL0086-C,Plate_F_D5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.741,arabiensis,,arabiensis,16.216902,3.7367244,-4.110797,32.46242,2.7141762,-3.693743,18.623396,-13.152232,-20.924603,-10.194784
2227,BL0087-C,Plate_F_E5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.743,arabiensis,,arabiensis,9.9613,3.7872977,10.322767,-2.0289161,13.526262,1.6171356,-2.2298276,-18.689974,-14.928492,-4.104637
2228,BL0088-C,Plate_F_F5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.7390000000000001,arabiensis,,arabiensis,19.88125,8.475675,20.892956,-0.79320246,7.521077,-3.7660348,-6.3768945,-6.6319942,0.94564676,-5.1661205
2229,BL0089-C,Plate_F_G5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.46,0.74,arabiensis,,arabiensis,21.933474,5.913739,4.056344,0.8776957,5.0768113,4.410167,16.165527,-1.4859638,3.803014,-11.122406
2230,BL0090-C,Plate_F_H5,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.456,0.74,arabiensis,,arabiensis,16.78023,6.3822346,27.867092,-6.3122916,-0.82463455,25.404385,-17.788986,-18.265839,-28.073793,3.4113183
2231,BL0091-C,Plate_F_A6,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.455,0.7390000000000001,arabiensis,,arabiensis,25.096651,8.565849,5.404392,28.530193,5.6734157,-0.5928033,21.252546,-13.2567215,4.85185,17.357895
2232,BL0092-C,Plate_F_B6,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.457,0.743,arabiensis,,arabiensis,22.720922,5.7124534,19.676405,22.050694,-2.165493,8.240657,-41.68695,-29.670408,4.1462617,-13.954576
2233,BL0093-C,Plate_F_D6,Bilali Kabula,Tanzania,Muleba,2015,3,-1.962,31.651,F,AG1000G-TZ,v3,0.44799999999999995,0.741,arabiensis,,arabiensis,22.54479,7.310996,16.172895,7.502024,-13.899984,-6.936166,-3.722497,-8.470074,-18.611258,-6.898853
